B_True_DE,B_MisOR_DE,B_MisPS_DE,B_MisBoth_DE,B_Over_DE,B_Under_DE,B_True_IE,B_MisOR_IE,B_MisPS_IE,B_MisBoth_IE,B_Over_IE,B_Under_IE,S_True_DE,S_MisOR_DE,S_MisPS_DE,S_MisBoth_DE,S_Over_DE,S_Under_DE,S_True_IE,S_MisOR_IE,S_MisPS_IE,S_MisBoth_IE,S_Over_IE,S_Under_IE,C_True_DE,C_MisOR_DE,C_MisPS_DE,C_MisBoth_DE,C_Over_DE,C_Under_DE,C_True_IE,C_MisOR_IE,C_MisPS_IE,C_MisBoth_IE,C_Over_IE,C_Under_IE,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66
-0.016818484,-0.015707218,-0.013204369,-0.016395021,-0.015545977,-0.013109413,-0.051531229,0.020256579,-0.035356112,-0.040471371,-0.070116724,-0.075777831,-0.074112983,-0.066823951,-0.078559445,-0.077134448,-0.068923797,-0.081526759,-0.017895595,-0.005786946,-0.119210096,-0.201296378,3.982450841,4.02909301,4.192278498,4.016387801,4.064171574,4.208589354,14.51747045,15.64477724,12.5410828,4.84188646,6.401656055,4.638315159,4.683628811,5.130188557,4.633683702,4.696683886,5.111629375,18.26059708,18.16399492,17.98376549,7.098034475,12.96795964,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
-0.002033118,-0.003748759,0.000269479,-0.001333908,-0.00273633,0.001181151,0.102963749,0.051202592,0.143197689,0.030584733,-0.015327436,0.042405094,0.037242146,0.034586792,0.042010199,0.037189441,0.030852143,0.203601971,0.153751243,0.280266362,0.095462692,0.072355245,4.511881353,4.244107337,4.882682313,4.454358624,4.203805129,4.817679419,10.7196046,10.32512427,12.08695761,6.103611131,6.017261834,7.609966521,6.854306947,8.576809082,7.407248103,6.700157365,8.348534557,20.57886786,19.72291445,24.50551377,11.98106788,11.57790993,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
0.005637612,0.006916636,0.004100555,0.003903732,0.005168454,0.000564461,0.046311448,0.013837953,0.102682855,0.027489759,0.005814674,-0.00178817,0.002518923,0.001099175,0.001947983,0.006348848,0.011743319,0.089551198,0.065661608,0.177525255,0.032750371,0.055030671,3.988452791,3.968252723,4.012349475,3.981134652,3.959857854,3.990740849,8.663340275,8.79394673,11.78710736,4.019074646,5.504256302,3.438078678,3.319094683,3.508892327,3.434903733,3.313426935,3.545890941,9.154775364,9.126803997,15.74945062,3.714419787,6.835960517,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
0.065833778,0.065920743,0.080491387,0.065153517,0.065095075,0.080719208,0.142908377,0.105419314,0.178182433,0.072714131,0.017842491,0.006992253,0.008559929,0.017058453,0.007731419,0.00894506,0.014856288,0.095450979,0.06855035,0.193333829,0.005373665,0.035392854,4.109385602,4.147876378,4.633383663,4.098273808,4.140149509,4.60390769,9.104016846,9.271191721,9.612570509,4.672786858,6.651703989,5.03197956,5.021896983,5.068243418,4.977915379,4.970051328,5.013954938,14.22356421,14.29343052,17.08753253,6.655432681,11.07791226,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
0.100265249,0.10069412,0.095762651,0.101761277,0.102211612,0.096956096,0.113016179,0.132891338,0.155435912,0.082693417,0.051431709,0.039334603,0.038960443,0.054686847,0.035714295,0.035336794,0.050481609,0.088227047,0.110243724,0.16900985,0.012005082,-0.025889427,3.912902453,3.912597123,4.030595946,3.878247427,3.879118431,3.985503731,15.23753355,15.64414772,11.56581361,3.739457771,5.982665594,5.239835474,5.215806681,5.630924399,5.105413207,5.079379696,5.479444799,23.60700965,24.51043982,16.22264438,4.868865967,11.71673057,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.051852137,-0.050282905,-0.032332779,-0.051419309,-0.049763366,-0.032527762,0.0428407,-0.01905402,0.073375174,-0.03664778,-0.054473254,-0.010466695,-0.009792732,0.011184427,-0.011619167,-0.010910482,0.009157045,0.105656624,0.04371062,0.161634392,0.020064005,0.079038567,3.462282137,3.431226655,3.601732441,3.468406532,3.431284022,3.579219629,8.642965578,8.946690804,8.529859344,3.950284427,7.031351061,5.334889575,5.284224488,4.703722604,5.396471315,5.306686957,4.745090101,13.39289811,13.73730156,13.2476051,7.190467054,13.31549103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
0.079559149,0.080066607,0.062554146,0.082789787,0.083110864,0.067368004,0.153721934,0.115110024,0.13361059,0.076468252,0.079310012,-0.008189982,-0.006658357,-0.002390163,-0.01315209,-0.011825494,-0.010093654,0.017163387,-0.016192611,0.063463536,-0.00479032,0.030333802,3.921284133,3.929622152,3.896791919,3.939178094,3.948978324,3.894370704,8.828189634,8.736151128,9.262019321,4.446383819,6.209953769,3.81635933,3.887083973,4.055992432,3.873346386,3.944260693,4.116845226,11.10859576,11.29151636,12.13028031,5.129097327,8.329250628,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.035734317,-0.038229838,-0.02587758,-0.035158704,-0.037730451,-0.030095533,-0.021337406,-0.074546773,0.049780304,-0.046829128,-0.02738071,-0.072920273,-0.078119337,-0.073602001,-0.075237891,-0.080670933,-0.067164988,-0.082736911,-0.150713359,0.019783938,-0.094151424,-0.040868237,3.680309918,3.684630475,3.935413908,3.652424014,3.656800575,3.904739943,9.997313269,10.27022224,9.262053978,4.523281993,6.133786895,5.498803671,5.535844998,6.681852864,5.454410201,5.497549875,6.609019853,17.91376842,18.98342806,16.50415007,8.01769084,15.30886314,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.024870362,0.02292767,0.023998308,0.02646244,0.024624677,0.02437898,0.015982203,-0.002162047,0.056596569,0.045134276,0.043646476,0.053798277,0.054387862,0.040147306,0.055551442,0.055968147,0.046803575,0.060254826,0.052855656,0.149067418,0.088955257,0.165376339,3.3775027,3.379322379,3.293726485,3.355432443,3.357903871,3.27708762,8.119176547,8.11059963,8.455260348,3.797021939,5.61911753,4.016339189,4.017032083,3.768639788,4.029728843,4.032960712,3.793425104,12.90087304,12.95042286,15.40642257,5.251784332,10.80276047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0.040360342,0.038757397,0.049571426,0.037626158,0.035652711,0.045852858,0.035942319,-0.045099942,0.064915395,0.021282667,-0.054276082,0.087202588,0.080270662,0.114056278,0.084602195,0.077017592,0.111763321,0.070382893,-0.006338371,0.149746956,0.058331807,0.113536903,4.072176394,4.292936762,4.603235403,4.035814974,4.260159385,4.538567327,10.17082316,12.05147339,9.852653251,4.558552092,21.34408367,5.27225346,5.851085447,6.337937286,5.21300294,5.819728444,6.278691379,15.57069,18.67551396,17.15326583,7.774323475,9.725892364,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
-0.034752488,-0.039623086,-0.087659278,-0.034103569,-0.038946189,-0.089445495,-0.084097217,-0.13323552,-0.149938262,-0.06995504,-0.007879161,-0.030835248,-0.035414722,-0.061868767,-0.032871753,-0.03746001,-0.063296577,-0.144482052,-0.18700981,-0.226569928,-0.052305444,0.060928215,7.30907036,7.546093932,8.085460845,7.28779959,7.521442464,8.050096897,39.24537814,39.477368,38.42868186,11.39176712,11.281846,10.3173787,11.37453168,14.97465203,10.25935234,11.29665856,14.85318106,45.22951036,51.74259429,80.97180146,23.98891389,15.92672886,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.01943356,-0.018795719,-0.03272459,-0.01948486,-0.019044355,-0.029136092,0.073493804,0.005958912,0.142904448,-0.017906906,-0.002407228,0.018354746,0.01455226,0.00445415,0.019903261,0.015908527,0.004216685,0.107605616,0.039607373,0.242827025,0.021340395,0.049948337,3.374036335,3.348949225,3.63845311,3.342793038,3.321568423,3.546350227,8.880628066,9.803429013,10.55986236,4.178825683,5.233012238,3.889978757,3.97821469,3.929808557,3.933378683,4.041401876,3.916857764,14.23577318,16.64836193,15.20500589,6.469283179,10.21193986,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
-0.064062517,-0.063935139,-0.071922639,-0.066929404,-0.06684136,-0.075947867,-0.052704306,-0.039245957,-0.048812107,-0.092156762,-0.093970849,-0.060425436,-0.060516324,-0.047369404,-0.059858191,-0.059986015,-0.047969061,-0.108684921,-0.096804972,-0.056335449,-0.119410371,-0.117437743,3.409797092,3.411961276,3.289997497,3.410160607,3.413079455,3.297088523,14.18427362,14.43367816,11.2511096,4.134219763,4.896591909,3.40457004,3.397365179,3.594374598,3.372854616,3.369646908,3.540846608,15.46306997,15.41977774,14.59381397,5.884775811,7.646610593,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
